Team,Record ATS,Total Wins
Buffalo Bills,7/9/00,6
Miami Dolphins,8/8/00,7
New England Patriots,9/7/00,11
New York Jets,5/10/01,4
Baltimore Ravens,8/8/00,10
Cleveland Browns,10/6/00,7
Cincinnati Bengals,9/7/00,6
Pittsburgh Steelers,8/7/01,9
Houston Texans,7/6/03,11
Indianapolis Colts,8/7/01,10
Jacksonville Jaguars,5/9/02,5
Tennessee Titans,8/8/00,9
Denver Broncos,6/9/01,6
Kansas City Chiefs,9/6/01,12
Los Angeles Chargers,9/7/00,12
Oakland Raiders,6/10/00,4
Dallas Cowboys,8/6/02,10
New York Giants,8/7/01,5
Philadelphia Eagles,6/9/01,9
Washington Redskins,9/7/00,7
Chicago Bears,12/4/00,12
Detroit Lions,9/7/00,6
Green Bay Packers,6/9/01,6
Minnesota Vikings,8/7/01,8
Atlanta Falcons,5/11/00,7
Carolina Panthers,7/9/00,7
New Orleans Saints,10/6/00,13
Tampa Bay Buccaneers,7/7/02,5
Arizona Cardinals,7/9/00,3
Los Angeles Rams,7/7/02,13
San Francisco 49ers,5/11/00,4
Seattle Seahawks,9/5/02,10