Rk,Player,Tm,Age,Pos,G,GS,QBrec,Cmp,Att,Cmp%,Yds,TD,TD%,Int,Int%,Lng,Y/A,AY/A,Y/C,Y/G,Rate,QBR,Sk,Yds,NY/A,ANY/A,Sk%,4QC,GWD
1,Ben Roethlisberger,PIT,36,QB,16,16,9/6/2001,452,675,67,5129,34,5,16,2.4,97,7.6,7.5,11.3,320.6,96.5,73,24,166,7.1,7.04,3.4,2,3
2,Andrew Luck*,IND,29,QB,16,16,10/6/2000,430,639,67.3,4593,39,6.1,15,2.3,68,7.2,7.4,10.7,287.1,98.7,71.5,18,134,6.79,6.95,2.7,3,3
3,Matt Ryan,ATL,33,QB,16,16,7/9/2000,422,608,69.4,4924,35,5.8,7,1.2,75,8.1,8.7,11.7,307.8,108.1,70.6,42,296,7.12,7.71,6.5,1,1
4,Kirk Cousins,MIN,30,QB,16,16,8/7/2001,425,606,70.1,4298,30,5,10,1.7,75,7.1,7.3,10.1,268.6,99.7,60.6,40,262,6.25,6.48,6.2,1,0
5,Aaron Rodgers*,GNB,35,QB,16,16,6/9/2001,372,597,62.3,4442,25,4.2,2,0.3,75,7.4,8.1,11.9,277.6,97.6,56.8,49,353,6.33,6.96,7.6,3,3
6,Case Keenum,DEN,30,QB,16,16,6/10/2000,365,586,62.3,3890,18,3.1,15,2.6,64,6.6,6.1,10.7,243.1,81.2,47.9,34,235,5.9,5.39,5.5,3,4
7,Patrick Mahomes*+,KAN,23,QB,16,16,12/4/2000,383,580,66,5097,50,8.6,12,2.1,89,8.8,9.6,13.3,318.6,113.8,82,26,171,8.13,8.89,4.3,2,2
8,Eli Manning,NYG,37,QB,16,16,5/11/2000,380,576,66,4299,21,3.6,11,1.9,58,7.5,7.3,11.3,268.7,92.4,51.2,47,358,6.33,6.21,7.5,1,2
9,Tom Brady*,NWE,41,QB,16,16,11/5/2000,375,570,65.8,4355,29,5.1,11,1.9,63,7.6,7.8,11.6,272.2,97.7,68.8,21,147,7.12,7.26,3.6,1,2
10,Jared Goff*,LAR,24,QB,16,16,13-3-0,364,561,64.9,4688,32,5.7,12,2.1,70,8.4,8.5,12.9,293,101.1,65.4,33,223,7.52,7.69,5.6,4,4
11,Matthew Stafford,DET,30,QB,16,16,6/10/2000,367,555,66.1,3777,21,3.8,11,2,67,6.8,6.7,10.3,236.1,89.9,50.9,40,255,5.92,5.79,6.7,0,1
12,Derek Carr,OAK,27,QB,16,16,4/12/2000,381,553,68.9,4049,19,3.4,10,1.8,66,7.3,7.2,10.6,253.1,93.9,49.3,51,299,6.21,6.09,8.4,3,3
13,Dak Prescott*,DAL,25,QB,16,16,10/6/2000,356,526,67.7,3885,22,4.2,8,1.5,90,7.4,7.5,10.9,242.8,96.9,58.6,56,347,6.08,6.22,9.6,3,5
14,Philip Rivers*,LAC,37,QB,16,16,12/4/2000,347,508,68.3,4308,32,6.3,12,2.4,75,8.5,8.7,12.4,269.3,105.5,71.2,32,204,7.6,7.79,5.9,3,3
15,Deshaun Watson*,HOU,23,QB,16,16,11/5/2000,345,505,68.3,4165,26,5.1,9,1.8,73,8.2,8.5,12.1,260.3,103.1,63,62,384,6.67,6.87,10.9,5,5
16,Drew Brees*,NOR,39,QB,15,15,13-2-0,364,489,74.4,3992,32,6.5,5,1,72,8.2,9,11,266.1,115.7,81.9,17,121,7.65,8.47,3.4,6,7
17,Baker Mayfield,CLE,23,QB,14,13,6/7/2000,310,486,63.8,3725,27,5.6,14,2.9,71,7.7,7.5,12,266.1,93.7,55.7,25,173,6.95,6.77,4.9,3,4
18,Cam Newton,CAR,29,QB,14,14,6/8/2000,320,471,67.9,3395,24,5.1,13,2.8,82,7.2,7,10.6,242.5,94.2,57.4,29,213,6.36,6.15,5.8,2,2
19,Mitchell Trubisky*,CHI,24,QB,14,14,11/3/2000,289,434,66.6,3223,24,5.5,12,2.8,70,7.4,7.3,11.2,230.2,95.4,72.8,24,143,6.72,6.59,5.2,1,2
20,Russell Wilson*,SEA,30,QB,16,16,10/6/2000,280,427,65.6,3448,35,8.2,7,1.6,66,8.1,9,12.3,215.5,110.9,65.1,51,355,6.47,7.28,10.7,2,4
21,Sam Darnold,NYJ,21,QB,13,13,4/9/2000,239,414,57.7,2865,17,4.1,15,3.6,76,6.9,6.1,12,220.4,77.6,47.9,30,204,5.99,5.24,6.8,1,1
22,Blake Bortles,JAX,26,QB,13,12,3/9/2000,243,403,60.3,2718,13,3.2,11,2.7,80,6.7,6.2,11.2,209.1,79.8,44.1,31,173,5.86,5.32,7.1,0,1
23,Carson Wentz,PHI,26,QB,11,11,5/6/2000,279,401,69.6,3074,21,5.2,7,1.7,58,7.7,7.9,11,279.5,102.2,64.9,31,202,6.65,6.89,7.2,2,2
24,Josh Rosen,ARI,21,QB,14,13,3/10/2000,217,393,55.2,2278,11,2.8,14,3.6,75,5.8,4.8,10.5,162.7,66.7,26.6,45,320,4.47,3.53,10.3,1,2
25,Joe Flacco,BAL,33,QB,9,9,4/5/2000,232,379,61.2,2465,12,3.2,6,1.6,71,6.5,6.4,10.6,273.9,84.2,58.7,16,79,6.04,5.96,4.1,,
26,Jameis Winston,TAM,24,QB,11,9,3/6/2000,244,378,64.6,2992,19,5,14,3.7,64,7.9,7.3,12.3,272,90.2,71.8,27,157,7,6.38,6.7,0,1
27,Andy Dalton,CIN,31,QB,11,11,5/6/2000,226,365,61.9,2566,21,5.8,11,3,49,7,6.8,11.4,233.3,89.6,64.6,21,157,6.24,6.05,5.4,3,4
28,Marcus Mariota,TEN,25,QB,14,13,7/6/2000,228,331,68.9,2528,11,3.3,8,2.4,61,7.6,7.2,11.1,180.6,92.3,53.1,42,243,6.13,5.75,11.3,2,3
29,Alex Smith,WAS,34,QB,10,10,6/4/2000,205,328,62.5,2180,10,3,5,1.5,52,6.6,6.6,10.6,218,85.7,53.8,22,121,5.88,5.81,6.3,,
